IssueID,Title,Workstream,Severity,PriorityTier,Effort,Impact,SEOImpact,GEOImpact,BlockedBy,Enables,SourceFiles,AffectedRoutes,RecommendedAction,QAOwnerNotes
I028,Landing pages have JSON-LD breadcrumbs only — no visible HTML breadcrumb nav for users or crawlers,D-InternalLinking,Low,P3,S,Low,Low,Low,None,None,src/components/landing/LandingPageTemplate.tsx,All /[slug] and /es/[slug] landing pages,Add visible HTML breadcrumb nav above H1: Home > [Category] > [Page]. This reinforces JSON-LD and provides clickable navigation.,Verify breadcrumb renders in DOM and JSON-LD BreadcrumbList remains consistent.
LP-F01,MERGE venezuelan-women-in-maturin — thin doorway-page risk with no ES counterpart,F-LandingPages,High,P2,S,Medium,Medium,Low,I001+I002 (crawl fixes first),None,src/content/landingPages.ts; src/App.tsx; public/_redirects,/venezuelan-women-in-maturin,Remove slug from landingPages.ts. Add 301 redirect in _redirects: /venezuelan-women-in-maturin → /meet-venezuelan-women or a new /venezuelan-cities hub. Update sitemap.,Verify 301 redirect returns correct Location header. Verify removed slug no longer appears in sitemap.
LP-F02,REWRITE venezuelan-women-in-ciudad-guayana — industrial city; weak intent; template-swapped content,F-LandingPages,Medium,P2,M,Medium,Medium,Low,None,None,src/content/landingPages.ts,/venezuelan-women-in-ciudad-guayana,Rewrite with Orinoco delta / Angostura cultural angle and local dating intent framing (not diaspora). Reach 800+ authentic words. Add ES counterpart only after EN passes review.,Review rewritten content against original — verify meaningfully differentiated from other VZ city pages.
LP-F03,REWRITE venezuelan-women-in-boston — thin content; small community; no authentic local data,F-LandingPages,Medium,P2,M,Medium,Low,Low,None,None,src/content/landingPages.ts,/venezuelan-women-in-boston,Rewrite with Cambridge/Greater Boston Venezuelan academic community angle (Harvard; MIT connections). If 800+ authentic words not achievable: escalate to MERGE into /venezuelan-women-in-united-states.,Word count must reach 800+ with authentic local specifics before staying indexed.
LP-F04,REWRITE venezuelan-women-in-chicago — template-swapped; no ES counterpart; smaller diaspora,F-LandingPages,Medium,P2,M,Medium,Medium,Low,None,I022b (create ES after EN rewrite complete),src/content/landingPages.ts,/venezuelan-women-in-chicago,Rewrite with Pilsen/Humboldt Park Venezuelan community angle. Differentiate tone from Sun Belt city pages (Chicago is colder; different Venezuelan migration pattern).,Content must differ meaningfully from Dallas/Atlanta/Orlando pages after rewrite.
LP-F05,REWRITE venezuelan-women-in-atlanta — template-swapped; no ES counterpart; Buford Highway unused,F-LandingPages,Medium,P2,M,Medium,Medium,Low,None,I022b (create ES after EN rewrite complete),src/content/landingPages.ts,/venezuelan-women-in-atlanta,Rewrite with Buford Highway Venezuelan restaurant district angle. Atlanta as Southeast hub for Venezuelan professionals. Buford Highway is nationally known — strong authentic differentiator.,Buford Highway angle must be explicitly referenced in H2 and body content.
LP-F06,REWRITE venezuelan-women-in-dallas — city-swap pattern; sections identical to Orlando/Atlanta,F-LandingPages,Medium,P2,M,Medium,Low,Low,None,None,src/content/landingPages.ts,/venezuelan-women-in-dallas,Rewrite with North Dallas/Addison Venezuelan community angle. Oil and gas industry connection to Venezuelan engineers is a genuine differentiator. 800+ words required.,Content must differ meaningfully from Atlanta and Orlando pages. Spot-check for shared paragraphs.
LP-F07,REWRITE venezuelan-women-in-orlando — generic sections; theme-park worker diaspora angle unused,F-LandingPages,Medium,P2,M,Medium,Low,Low,None,None,src/content/landingPages.ts,/venezuelan-women-in-orlando,Rewrite with Disney/theme-park worker diaspora angle. International Drive Venezuelan community is authentic. Tourism-corridor framing differentiates from other FL cities.,Verify sections are meaningfully different from Dallas/Atlanta pages. Remove shared boilerplate.
LP-F08,REWRITE venezuelan-women-in-washington-dc — diplomatic/political refugee angle completely unused,F-LandingPages,High,P2,M,High,High,Low,None,I022b (create ES after EN rewrite — HIGH priority for DC),src/content/landingPages.ts,/venezuelan-women-in-washington-dc,Rewrite leading with DC Venezuelan political diaspora — asylum seekers; political refugees; Venezuelan embassy staff. Human-rights angle no competitor can authentically replicate. 1000+ words.,This page has the highest differentiation potential of all REWRITE pages. Treat as a priority content asset.
LP-F09,REWRITE venezuelan-women-in-buenos-aires — no ES counterpart; copy generic; valid diaspora unused,F-LandingPages,Medium,P3,M,Medium,Low,Medium,None,I022b (create ES after rewrite),src/content/landingPages.ts,/venezuelan-women-in-buenos-aires,Rewrite with Palermo/Villa Crespo Venezuelan community angle. Buenos Aires as quality-of-life destination for Venezuelan professionals.,Create ES counterpart after EN rewrite quality passes review.
LP-F10,REWRITE venezuelan-women-in-barcelona — sections similar to Madrid; no ES counterpart; smaller community,F-LandingPages,Low,P3,M,Low,Low,Low,None,I022b,src/content/landingPages.ts,/venezuelan-women-in-barcelona,Rewrite with Catalan+Venezuelan cultural contrast angle. Barcelona as alternative to Madrid for Venezuelan creatives and professionals. Eixample reference.,Must differ clearly from Madrid page in angle and framing.
