Category,Weight,RawScore,WeightedScore,Status,Severity,Confidence,Evidence,WhyItMatters,RecommendedFix,Priority
"C11 · Heading Hierarchy",7,8,56,PASS,Low,High,"All pages: single H1 ✓; LandingPageTemplate.tsx:80/103/121/145 H1→H2 sections→H2 FAQ→H2 related ✓; FAQ.tsx:146/208 H1 hero; H2 per category ✓; ResourceDetail.tsx:287/354 H1; H2 FAQ; H2 keep reading ✓; HowItWorks.tsx:25 H1 then <h3> for steps — skips H2 (minor gap); Legal.tsx:76/116 H1; H2 sections ✓","Consistent heading hierarchy helps search engines understand page structure and content relationships. H1→H3 skip on HowItWorks is a minor accessibility and SEO gap.","HowItWorks: wrap step groups in an H2 section heading before the H3 step cards.",P4
"C12 · Keyword Targeting & Density",8,7,56,PARTIAL,Medium,High,"All 41 landing pages: primary keyword in title ✓; H1 ✓; description ✓; intro paragraph ✓; Core pages: 3 sections + 4-5 FAQs = 1200-2100 words ✓; City pages: 3 sections each ✓; Blog posts 2000+ words pending migration; Home.tsx uses i18n keys — keyword alignment with hero unverified; Safety and FAQ: bullet-format; limited prose keyword signal; No keyword stuffing detected ✓","Landing pages have strong keyword targeting but core site pages (Safety; FAQ; HowItWorks) lack deliberate keyword strategy; missing significant informational query traffic.","(1) Verify i18n/translations.ts hero copy targets Venezuelan dating; meet Venezuelan women online. (2) Add 1-2 keyword-rich body paragraphs to Safety and HowItWorks.",P3
"C13 · GEO / AI Search Optimization",9,3,27,FAIL,Critical,High,"StructuredData.tsx:12 sameAs: [] — no social entity links; No DatingService schema anywhere; No areaServed/serviceType/foundingDate in Organization; No Review or AggregateRating; ResourceDetail.tsx:166-167 author always {type: Organization} — no named expert; No /about route in App.tsx; FAQs on landing pages and FAQ page ✓; Blog covers Venezuelan culture ✓; Bilingual doubles Spanish AI query exposure ✓; No factual statistics or founding claims AI can cite","ChatGPT; Perplexity; Google AI Overviews; and Gemini capture 10-20%+ of informational dating searches. They strongly prefer named experts; AggregateRating; DatingService type; FAQs; factual claims; linked social presence. Without these MatchVenezuelan will not be cited.","(1) Add DatingService schema to Home. (2) Add sameAs with all social URLs. (3) Create /about page. (4) Create expert author persona for blog posts. (5) Add testimonial-based AggregateRating. (6) Write 2-3 pillar posts targeting best Venezuelan dating site queries.",P1
"C14 · Bilingual / International SEO",8,6,48,PARTIAL,High,High,"27 ES landing pages vs 41 EN ✓; Language toggle in header ✓; seo.ts:143-144 ogLocale and inLanguage set from lang ✓; seo.ts:147 document.documentElement.lang updated on navigation ✓; index.html:2 <html lang=en> STATIC — all pages appear as EN pre-JS (FAIL); No /es/resources or /es/recursos route (FAIL); No ES blog post URLs (FAIL); Legal.tsx:34-35 AUP/Anti-Solicitation no ES versions but fallback hreflang incorrectly signals ES at EN URL (FAIL)","Google uses static HTML lang attribute for initial language classification. All pages appearing as EN pre-JS creates incorrect language signals. Missing ES blog index cuts Spanish content discoverability.","(1) Add /es/recursos route and matching ES blog path. (2) Fix single-language pages to declare only en + x-default hreflang. (3) Consider /es/recursos/:slug for bilingual blog posts.",P2
"C15 · Page Depth & Content Quality",8,6,48,PARTIAL,Medium,High,"Core landing pages: 3 sections × 400-700 words = 1200-2100 words each ✓; Blog posts: 2000+ words pending DB migration; Safety.tsx:24-25 6 bullet items + 5 tips ≈ 150 words of prose — THIN; HowItWorks.tsx:11-15 4 step cards with short i18n body strings ≈ 200 words — THIN; Home.tsx mostly UI components; limited prose; FAQ: 20 Q&As substantive ✓; No last-updated date on landing pages","Thin content on Safety and HowItWorks undermines E-E-A-T for a YMYL site. Dated content (no published date) reduces trust signals for returning crawlers.","(1) Expand Safety to 800+ words with dedicated sections: How Our Moderation Works; Romance Scam Red Flags; What Happens After You Report. (2) Expand HowItWorks to 600+ words with substeps. (3) Add visible Last reviewed: [month year] to landing pages.",P2
"C16 · Social / OG Meta Implementation",6,5,30,PARTIAL,Medium,High,"seo.ts:153-171 full OG + Twitter implementation at runtime ✓; seo.ts:163-164 og:locale / og:locale:alternate from lang ✓; index.html:10 <meta property=og:image content=/logo.png> — RELATIVE PATH (FAIL); Build output logo 1482.35 kB — 1.48 MB OG image; No og:image:width/height meta tags; All pages share same logo as OG image — no differentiation","Facebook; Slack; WhatsApp; and LinkedIn scrapers that read static HTML get a broken OG image from the relative path. 1.48 MB logo loads slowly for social preview crawlers.","(1) index.html → <meta property=og:image content=https://matchvenezuelan.com/logo.png>. (2) Create 1200×630px compressed WebP OG image <200KB. (3) Add og:image:width and og:image:height. (4) Create per-category OG images for blog categories.",P2
"C17 · Crawlability & Indexation",8,4,32,FAIL,Critical,High,"CSR-only SPA: vite.config.ts — no SSG/SSR config; index.html:9 <div id=root></div> — blank content pre-JS; public/_redirects — no /* /index.html 200 catch-all → direct URL access to /meet-venezuelan-women may return 404 before React Router intercepts; Googlebot executes JS but with latency; Bing/DDG/social crawlers have partial JS execution; _redirects:1 sitemap shadow issue (see C06)","Without SPA catch-all redirect; every non-root URL may return 404 for non-JS crawlers. Without SSR/prerendering; indexation depends entirely on Googlebot JS rendering pipeline (5-10 day delay per page).","(1) Add /* /index.html 200 to _redirects immediately. (2) Add prerendering for top 10 landing pages via vite-plugin-prerender or Netlify prerendering. (3) Long-term: evaluate SSG with Astro or Vite SSR.",P0
"C18 · E-E-A-T Signals",8,3,24,FAIL,High,High,"No /about route in App.tsx; No team page; ResourceDetail.tsx:166 all blog authors: Organization — no named expert; StructuredData.tsx:12 sameAs: []; No press coverage links; No third-party trust certifications; No visible datePublished on landing pages; Legal.tsx:74 effective date 2026-01-01 shown ✓; Anti-solicitation policy exists ✓ (rare; positive); Safety page exists ✓; FAQ with 20 categorized Q&As ✓; YMYL classification — Google applies stricter E-E-A-T to dating sites","Google Quality Rater Guidelines require YMYL pages to demonstrate real expertise and trust. An international dating site with no About page; no named staff; and anonymous authorship will face skepticism in manual reviews.","(1) Create /about page with company story; mission; moderation team bio. (2) Add expert author persona to blog posts. (3) Add sameAs social links. (4) Add trust badge section. (5) Add visible datePublished and dateModified to blog posts.",P1
"C19 · Pagination & Crawl Budget",5,5,25,PARTIAL,Low,Medium,"Resources.tsx:120 PAGE_SIZE = 9 — client-side pagination; no URL parameters; No ?page=2 in URLs — pagination invisible to crawlers; No rel=prev/rel=next; 90+ page sitemap — manageable crawl budget ✓; No infinite scroll; no faceted navigation; no parameter URL pollution ✓; Admin routes blocked in robots.txt ✓","As blog grows past 9 posts; crawlers see only first 9 on index page. Individual post URLs in sitemap mitigate this but index-page discovery is limited.","URL-based pagination (?page=2) or ensure all post slugs stay in the sitemap as it grows.",P3
"C20 · Technical SEO Misc",6,5,30,PARTIAL,Medium,High,"index.html:8-9 favicon and apple-touch-icon both point to 1.48MB logo.png; No manifest.json / Web App Manifest; No <meta name=theme-color>; _redirects:4-5 /rss.xml and /rss-es.xml proxied to Supabase edge function (unverified); Resources.tsx:231-233 RSS feeds declared in <link rel=alternate> ✓; HTTPS via Cloudflare ✓; vite.config.ts no explicit build.target (Vite default ES2019 acceptable ✓); Build warning: browserslist data 10 months old","Large favicon download; missing PWA manifest; and unverified RSS feeds are reliability gaps that affect browser performance and feed discovery.","(1) Create proper 32×32 favicon.ico and separate 192/512px PWA icon. (2) Add site.webmanifest. (3) Add <meta name=theme-color content=#8B1A4A>. (4) Verify RSS feeds return valid XML.",P3
"TOTAL","150","—","838 / 1500 (55.9%)","F (CAUTION)","—","—","Overall: 3 PASS / 12 PARTIAL / 5 FAIL","Site has strong landing-page content program but foundational crawlability; performance; GEO; and E-E-A-T gaps prevent full indexation and AI citation.","Address P0 items first (sitemap; CWV; SPA catch-all) before any content optimization.","—"
